,RF_Algeria,RF_Azerbaijan,RF_Iran,RF_Libya,RF_Norway,RF_Russia,SARIMAX_Algeria,SARIMAX_Azerbaijan,SARIMAX_Iran,SARIMAX_Libya,SARIMAX_Norway,SARIMAX_Russia,XGB_Algeria,XGB_Azerbaijan,XGB_Iran,XGB_Libya,XGB_Norway,XGB_Russia
2025-08-01,3079.96979586709,2097.7171799474886,787.4287676700592,81.54181095708294,11436.437136000017,2781.3202202184507,2830.1954110186316,1955.8887131956549,755.6804818709605,42.646008376076736,11416.721915090551,3186.6210394684163,2730.683,1907.8889,835.0414,86.77169,11457.907,2919.9604
2025-09-01,3206.5637749384878,2239.908847562226,566.9315890759378,96.93410045851496,10350.377064000011,3077.1055134623048,2901.5993926324218,2315.2756831633374,711.3711976744693,63.31638796519443,9027.739915460843,2523.2535606695697,3025.621,2278.9956,393.4822,115.21337,10312.259,3162.1584
2025-10-01,3138.738894395181,2234.5838592818154,575.9653445630536,97.40955670625733,11059.745512000001,3295.059020018454,3215.330676567684,2334.5911712921693,652.7068145447831,111.35457155298192,12032.300216119205,2448.6247920687933,3300.5107,2199.9683,445.9153,91.83259,11781.771,4115.692
2025-11-01,3075.916975658937,2247.718298550992,540.6306872563941,93.51156930579036,11375.341864000018,3617.096829872702,3105.834846525816,2327.8093622671045,958.6985733574737,136.61917071814486,12633.366936859129,3519.6720756691193,3169.1282,2264.039,301.3892,73.62368,12158.595,4615.9395
2025-12-01,3156.537318047508,2290.765945887845,626.672222445191,79.3712721019904,11702.327472000037,3629.257122516391,3320.370054092179,2410.5705619073983,850.5986969064625,55.50514084029942,12887.320809636936,3740.8493265230945,3225.471,2355.7942,680.2544,55.5135,11657.94,4694.6963
2026-01-01,2966.132978799442,2273.5511767427133,517.9157195604901,72.88440468827885,11786.29679199999,3518.9210666283916,3115.2452793076645,2180.400401031814,599.2034033936231,22.41827378102198,12787.079434398229,2974.927200220987,3085.4172,2209.7754,598.4515,97.82516,12138.741,3963.3877
2026-02-01,2930.0010556861175,2258.079687928675,625.5368745010325,81.78955235800176,11785.505207999982,3158.6665904342317,2980.491566564035,2298.171909531487,444.1195408145379,4.9211586243382754,12618.071320797433,3035.787373090822,2910.1787,2092.5005,558.172,96.653435,12100.542,3625.6082
2026-03-01,2977.836898194903,2298.7090378362514,600.1575814966799,105.34789532260997,11923.738975999988,2260.7514045732805,2999.8784680237864,2449.352664702939,706.8410621378075,47.27792539709152,12619.645950950484,2406.459882873898,2930.8354,2309.0803,579.25024,99.63677,11710.044,2293.3982
2026-04-01,3095.623101598649,2279.597975647628,707.3335700182889,90.75093384999802,11611.295311999995,2054.7011543695535,3249.7056086338944,2398.020860994722,828.4370272415649,79.35985117489311,12070.640037385165,1999.186202670911,2955.9688,2285.3506,789.0086,72.27322,11479.791,2041.8511
2026-05-01,3009.6733413662746,2293.495004580347,644.4463202136195,86.76383036609826,11036.257304000012,1845.9644087707907,2981.7954769187977,2379.7369120140283,820.0531323139786,45.567381884968825,10978.760872999259,1485.2102229080206,3038.255,2233.1343,960.78107,74.2254,10969.687,2160.7532
2026-06-01,3036.1234635498454,2318.373570172661,682.7685129905478,72.84567213188988,10611.231287999997,1814.5651141883377,2778.7746652139917,2430.458701769754,716.0874847502777,-23.398902977480553,10875.679289917058,949.4362000060387,2879.7717,2323.2,937.4795,100.46903,10527.297,1828.3401
2026-07-01,3108.5581920478135,2313.2985257360883,681.0626127908699,78.07944511665096,10669.044216000026,2250.5786114616744,2824.155307380066,2413.8774880644837,696.1601189551483,-16.27152694846291,12014.662280402437,1181.4251295031522,2974.0195,2315.6562,879.78986,113.87185,10517.762,1705.8038
2026-08-01,3078.057421752603,2226.1569345441953,605.2888577074052,94.28302398397742,10130.446368000034,2880.1199936782787,2946.28070033059,2087.170815778286,594.0853693384058,-29.12298315033123,11616.53844263198,1989.4867823894065,3225.9988,1949.1122,883.08673,86.618,9946.993,2475.7349
2026-09-01,3014.086301791593,2285.389609243348,598.4126967449474,85.06730837082694,8825.61568,2974.354508786109,2766.3516344911804,2435.5903379188885,629.3097485454725,-16.110658815946955,9247.259891407068,1513.688716726736,3146.175,2300.541,881.67175,73.72734,6934.638,3023.9915
