route,method,MAE_to_existing,RMSE_to_existing,MAPE_to_existing
Algeria,SARIMAX,136.11408678376182,207.17918937947994,4.970885592653032
Algeria,ETS,156.69032575781833,231.66372801236494,5.720987048823587
Algeria,XGB,203.02098794471928,272.27594417037136,7.391658031695907
Algeria,SeasonalNaive,205.7701895364989,280.73191553668585,7.084997949452651
Algeria,RF,217.42538324026071,292.0280043386254,7.93837287661089
Azerbaijan,SARIMAX,138.40599830494793,169.28291558608598,5.544514848302226
Azerbaijan,RF,205.25428424479492,233.73307712231363,8.075237983909677
Azerbaijan,ETS,212.7769637326517,231.58383214878174,8.429772647457307
Azerbaijan,XGB,237.77341970938255,254.57227829852462,9.551968421438824
Azerbaijan,SeasonalNaive,268.3347418739365,320.56146010019046,10.884153658979072
Iran,SARIMAX,113.45490568327057,126.92044567210776,18.607857764838748
Iran,RF,117.03621441680694,137.347856241795,19.001269888321907
Iran,XGB,219.4318057658369,267.90206666785065,38.14853484677711
Iran,SeasonalNaive,255.5448478445292,302.47271370403996,43.43183762057894
Iran,ETS,405.7298328553166,419.95162240628235,68.05882623666535
Libya,SeasonalNaive,48.61432543709784,57.65030830161208,59.19570931020879
Libya,ETS,53.64272662364139,61.30686718955471,63.49484741312189
Libya,XGB,61.13762771728193,69.12882662955342,71.50374289484535
Libya,RF,62.38999561012106,67.47071258480747,68.19030202068785
Libya,SARIMAX,106.92483228678333,118.12174777063551,85.5978929691516
Norway,SeasonalNaive,508.6698816513389,554.5163037437295,4.729350477189912
Norway,XGB,612.0986745884711,788.1375703064381,5.940830858586192
Norway,ETS,629.7255326567379,667.4304769181848,5.801671487660713
Norway,RF,637.4802834488011,742.6525808329419,5.879041754297332
Norway,SARIMAX,747.4414857361708,807.1473103346384,6.765915134969387
Russia,SARIMAX,951.922867863713,1174.5500539907239,34.367439970612466
Russia,RF,1039.8623053618137,1169.3063755072749,39.131265747047244
Russia,ETS,1060.9236931729658,1348.1841191398726,45.27739240445845
Russia,XGB,1290.949034020961,1438.0167383628955,49.39589396449124
Russia,SeasonalNaive,1358.1178116614865,1528.7018662661312,51.92309413425913
