Period,Calculated_Spot,Actual_Spot,Percent_Error,Abs_Percent_Error,sMAPE,WAPE_Contribution,Absolute_Error,Abs_Error_Dollar
2006 Q1,7.0,9.5,-26.32,26.32,30.303030303030305,1.845018450184502,-2.5,2.5
2007 Q1,7.0,7.5,-6.67,6.67,6.896551724137931,0.36900369003690037,-0.5,0.5
2007 Q3,7.5,9.0,-16.67,16.67,18.181818181818183,1.1070110701107012,-1.5,1.5
2008 Q1,10.0,13.5,-25.93,25.93,29.78723404255319,2.5830258302583027,-3.5,3.5
2008 Q3,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
2009 Q1,8.0,4.0,100.0,100.0,66.66666666666667,2.952029520295203,4.0,4.0
2009 Q3,6.5,4.0,62.5,62.5,47.61904761904762,1.845018450184502,2.5,2.5
2010 Q1,6.0,5.5,9.09,9.09,8.695652173913043,0.36900369003690037,0.5,0.5
2010 Q3,5.5,4.5,22.22,22.22,20.0,0.7380073800738007,1.0,1.0
2011 Q1,6.5,5.0,30.0,30.0,26.08695652173913,1.1070110701107012,1.5,1.5
2011 Q3,6.5,4.5,44.44,44.44,36.36363636363637,1.4760147601476015,2.0,2.0
2012 Q1,6.0,3.5,71.43,71.43,52.63157894736842,1.845018450184502,2.5,2.5
2012 Q3,5.0,3.0,66.67,66.67,50.0,1.4760147601476015,2.0,2.0
2013 Q1,4.5,3.5,28.57,28.57,25.0,0.7380073800738007,1.0,1.0
2013 Q3,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
2014 Q1,4.0,5.5,-27.27,27.27,31.57894736842105,1.1070110701107012,-1.5,1.5
2014 Q3,3.5,4.0,-12.5,12.5,13.333333333333334,0.36900369003690037,-0.5,0.5
2015 Q1,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2015 Q3,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0
2016 Q1,2.5,2.0,25.0,25.0,22.22222222222222,0.36900369003690037,0.5,0.5
2016 Q3,2.5,3.0,-16.67,16.67,18.181818181818183,0.36900369003690037,-0.5,0.5
2017 Q1,3.5,5.0,-30.0,30.0,35.294117647058826,1.1070110701107012,-1.5,1.5
2017 Q3,4.0,3.0,33.33,33.33,28.571428571428573,0.7380073800738007,1.0,1.0
2018 Q1,6.0,3.0,100.0,100.0,66.66666666666667,2.2140221402214024,3.0,3.0
2018 Q3,6.0,3.0,100.0,100.0,66.66666666666667,2.2140221402214024,3.0,3.0
2019 Q1,6.0,3.0,100.0,100.0,66.66666666666667,2.2140221402214024,3.0,3.0
2019 Q3,5.0,3.5,42.86,42.86,35.294117647058826,1.1070110701107012,1.5,1.5
2020 Q1,3.5,2.5,40.0,40.0,33.333333333333336,0.7380073800738007,1.0,1.0
2020 Q3,3.0,2.5,20.0,20.0,18.181818181818183,0.36900369003690037,0.5,0.5
