Period,Calculated_Spot,Actual_Spot,Percent_Error,Abs_Percent_Error
2006 Q1,7.00,9.50,-26.32,26.32
2007 Q1,7.00,7.50,-6.67,6.67
2007 Q3,7.50,9.00,-16.67,16.67
2008 Q1,10.00,13.50,-25.93,25.93
2008 Q3,9.00,9.00,0.00,0.00
2009 Q1,8.00,4.00,100.00,100.00
2009 Q3,6.50,4.00,62.50,62.50
2010 Q1,6.00,5.50,9.09,9.09
2010 Q3,5.50,4.50,22.22,22.22
2011 Q1,6.50,5.00,30.00,30.00
2011 Q3,6.50,4.50,44.44,44.44
2012 Q1,6.00,3.50,71.43,71.43
2012 Q3,5.00,3.00,66.67,66.67
2013 Q1,4.50,3.50,28.57,28.57
2013 Q3,4.00,4.00,0.00,0.00
2014 Q1,4.00,5.50,-27.27,27.27
2014 Q3,3.50,4.00,-12.50,12.50
2015 Q1,3.00,3.00,0.00,0.00
2015 Q3,2.50,2.50,0.00,0.00
2016 Q1,2.50,2.00,25.00,25.00
2016 Q3,2.50,3.00,-16.67,16.67
2017 Q1,3.50,5.00,-30.00,30.00
2017 Q3,4.00,3.00,33.33,33.33
2018 Q1,6.00,3.00,100.00,100.00
2018 Q3,6.00,3.00,100.00,100.00
2019 Q1,6.00,3.00,100.00,100.00
2019 Q3,5.00,3.50,42.86,42.86
2020 Q1,3.50,2.50,40.00,40.00
2020 Q3,3.00,2.50,20.00,20.00
